student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,prediccion,real,recomendaciones
3308,22,Other,Postgraduate,0.65,3.25,2.7,3.91,1.61,5.27,8.25,41,487,0,0,Average,10,20.79,50.73,34.04,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
4643,22,Male,Postgraduate,5.35,3.04,0.52,1.03,1.81,6.69,9.34,53,39,1,1,Average,5,35.67,65.6,32.47,0,0,Nivel de agotamiento alto - incluir pausas y descanso
2262,19,Other,High School,1.44,2.72,3.07,5.09,0.06,5.88,9.93,10,441,1,0,Good,5,13.71,58.45,5.92,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
3775,23,Other,Postgraduate,2.75,2.74,2.44,2.04,2.18,4.0,3.06,51,409,0,0,Poor,10,29.22,46.86,44.72,0,1,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
4818,24,Female,High School,6.92,2.0,1.68,3.67,1.56,6.26,6.98,116,219,1,1,Poor,1,13.93,57.59,21.07,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
2018,20,Male,Undergraduate,3.24,3.61,2.85,3.59,2.75,6.71,5.37,38,152,1,0,Poor,2,16.84,39.94,9.0,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
4688,16,Female,High School,3.42,1.5,2.29,4.03,2.47,7.22,6.4,11,8,0,0,Poor,3,20.47,33.89,26.4,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
2654,23,Female,High School,2.97,0.67,2.8,1.72,0.75,5.0,7.78,10,444,1,0,Good,7,34.04,60.7,34.98,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Nivel de agotamiento alto - incluir pausas y descanso | Establecer rutina de sueno de minimo 7 horas diarias
4974,21,Other,Postgraduate,6.29,1.55,1.95,3.03,1.9,5.28,7.25,59,396,0,1,Poor,3,24.71,67.42,37.78,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
3761,23,Other,High School,2.03,0.98,3.91,2.99,1.96,9.5,10.25,123,481,1,1,Average,8,19.83,52.57,18.11,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
368,16,Other,Postgraduate,5.76,1.57,2.77,5.27,4.28,4.83,5.48,19,333,0,1,Average,4,16.72,66.92,22.23,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
4066,25,Male,High School,5.03,1.38,2.24,1.34,3.06,4.15,7.7,78,368,0,0,Good,4,27.9,45.37,29.2,0,1,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
4719,21,Male,High School,2.2,3.9,1.17,2.34,0.72,8.28,12.06,106,457,0,1,Average,2,26.87,59.57,4.98,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario
4790,23,Male,Postgraduate,1.77,3.31,2.62,1.7,2.0,7.0,5.32,15,134,1,0,Good,3,20.73,54.7,14.43,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario
4904,19,Male,Undergraduate,4.09,3.3,2.55,4.58,1.0,7.1,6.64,123,296,1,1,Poor,1,16.86,44.6,24.4,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
1339,25,Other,Undergraduate,1.52,0.92,2.23,1.58,1.41,6.9,7.06,118,475,1,1,Average,4,10.79,62.42,1.55,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario
1165,20,Female,Undergraduate,6.07,2.34,1.88,3.01,2.53,6.29,3.61,78,102,1,0,Poor,2,20.87,35.43,34.5,0,1,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
2197,24,Other,Postgraduate,6.54,2.75,0.11,3.92,0.96,4.45,9.65,24,400,1,1,Average,6,31.86,75.95,42.41,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
1536,21,Male,Undergraduate,4.46,1.21,4.09,0.4,2.76,6.01,4.6,37,353,0,1,Average,2,18.85,52.01,17.17,0,0,Buscar apoyo en el servicio de bienestar universitario
4204,20,Other,Undergraduate,2.38,1.69,2.35,4.27,1.18,7.61,7.25,48,67,0,0,Good,1,4.74,27.22,4.61,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
828,24,Male,High School,0.01,1.69,2.2,4.19,0.6,6.46,5.08,100,386,1,0,Average,6,22.82,45.79,8.59,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
697,25,Male,Undergraduate,2.42,3.85,1.26,3.64,2.16,7.19,9.83,76,472,1,0,Average,1,19.43,51.73,4.64,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
1896,17,Female,Undergraduate,4.11,2.95,2.93,3.41,1.84,6.54,7.66,32,476,0,1,Poor,4,21.93,46.83,19.92,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
3859,18,Other,Postgraduate,1.4,2.68,2.29,1.34,1.35,9.03,7.54,56,256,1,0,Average,2,19.55,27.8,6.42,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario
4138,17,Other,High School,5.06,0.22,3.19,0.12,1.92,7.06,6.48,17,472,1,1,Poor,1,19.64,63.0,20.68,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario
3830,18,Female,Undergraduate,4.03,1.51,0.59,4.23,2.23,8.22,8.15,87,160,0,0,Average,1,17.23,31.17,21.88,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
4593,21,Male,Undergraduate,4.4,2.84,1.74,3.59,2.73,5.33,2.38,132,264,1,0,Poor,2,27.77,45.44,20.82,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
4332,23,Other,Postgraduate,2.61,3.79,3.56,2.97,0.41,8.1,10.75,46,375,1,0,Poor,3,31.59,46.13,26.58,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario
2419,25,Female,High School,3.21,3.14,3.05,2.47,3.04,7.09,7.52,1,223,1,0,Good,7,27.6,41.49,36.23,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
4120,24,Male,Undergraduate,1.98,3.02,1.47,4.04,0.99,8.97,10.96,129,253,0,0,Average,6,16.99,33.2,26.95,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
967,20,Female,Undergraduate,3.54,1.07,3.92,3.85,2.35,7.87,11.05,16,65,1,1,Average,8,26.27,55.39,33.89,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
1708,22,Other,Undergraduate,6.45,3.98,0.47,5.94,1.33,4.32,5.19,119,107,1,0,Good,1,17.33,48.37,25.95,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
1369,23,Male,High School,1.94,3.61,0.0,4.02,1.73,5.58,6.43,109,197,1,0,Good,2,9.34,47.53,5.01,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
871,21,Other,Undergraduate,3.32,1.7,2.1,3.73,1.52,6.43,6.96,66,90,1,1,Average,10,34.71,64.07,39.52,0,1,Aumentar horas de estudio a minimo 6 horas diarias | Nivel de agotamiento alto - incluir pausas y descanso | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
65,18,Male,High School,3.05,2.15,4.48,2.49,1.15,6.25,4.76,26,171,1,0,Good,1,13.54,43.27,17.14,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario
2095,18,Other,High School,4.17,3.62,3.24,3.49,0.21,6.11,3.86,50,310,1,1,Average,3,24.83,62.42,24.89,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario
2568,25,Male,High School,2.03,1.23,0.0,0.55,4.02,6.8,8.85,43,410,0,0,Poor,4,15.34,48.43,17.23,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
3428,25,Other,Undergraduate,4.73,2.54,1.03,4.5,3.38,5.13,5.91,54,499,1,1,Poor,2,16.3,63.8,23.65,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
4550,17,Other,Postgraduate,7.07,2.75,1.84,1.34,2.81,7.83,4.27,24,385,1,1,Average,3,38.13,68.71,34.55,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
513,24,Male,Postgraduate,0.0,3.03,3.11,2.37,2.75,6.53,10.22,105,231,0,1,Good,10,23.22,52.64,22.93,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
2184,22,Other,High School,5.3,1.81,1.45,3.41,0.37,6.38,7.41,107,220,1,1,Poor,4,20.32,64.77,25.85,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario
44,18,Male,High School,2.59,2.33,2.86,2.13,1.55,7.18,8.42,33,168,0,1,Good,2,25.78,46.05,21.13,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario
1356,23,Male,High School,5.01,3.25,1.02,4.88,2.29,4.0,10.33,98,281,0,1,Average,8,30.04,73.79,41.52,0,1,Nivel de agotamiento alto - incluir pausas y descanso | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
3465,22,Male,Undergraduate,4.01,0.71,1.16,2.86,2.73,7.22,7.91,99,357,1,1,Good,5,16.81,61.87,22.6,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
3439,24,Male,Postgraduate,2.66,2.98,1.04,2.11,0.3,7.51,1.12,69,241,1,1,Good,6,35.59,49.69,33.33,0,1,Aumentar horas de estudio a minimo 6 horas diarias
1491,23,Female,Undergraduate,1.83,1.48,0.26,1.08,0.77,6.61,3.24,69,248,0,0,Good,3,21.33,40.53,13.39,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario
426,25,Female,High School,8.13,0.72,1.78,0.65,0.68,5.92,8.82,3,366,1,1,Good,2,26.13,66.47,35.6,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario | Establecer rutina de sueno de minimo 7 horas diarias
4862,23,Female,Postgraduate,0.0,3.74,0.2,6.23,4.36,9.43,6.19,76,438,0,1,Poor,5,14.63,23.53,19.99,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
3453,16,Other,Undergraduate,3.69,0.63,1.97,3.23,1.03,7.91,3.9,127,436,1,1,Average,4,21.81,43.16,28.99,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
70,25,Female,High School,2.27,2.75,0.0,1.24,2.81,6.92,3.68,97,244,1,1,Poor,7,31.7,61.19,20.69,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Nivel de agotamiento alto - incluir pausas y descanso | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
1651,17,Other,Postgraduate,5.98,0.51,2.58,3.67,2.76,6.97,4.83,16,130,1,1,Average,2,18.44,47.36,26.33,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
4789,25,Female,Undergraduate,2.83,5.1,1.51,1.98,2.51,10.0,4.27,117,173,0,0,Good,2,25.19,9.37,25.08,0,1,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
2453,19,Other,Postgraduate,3.51,2.2,1.15,2.42,0.02,5.67,8.39,61,131,0,0,Good,3,31.55,50.03,25.06,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Establecer rutina de sueno de minimo 7 horas diarias
1942,16,Male,Undergraduate,5.11,3.71,1.9,0.65,3.58,6.47,8.56,103,140,0,0,Average,4,20.86,55.01,25.5,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
3021,22,Male,Undergraduate,4.62,2.92,3.11,2.6,2.98,6.48,11.56,145,165,1,1,Average,5,24.93,64.38,43.65,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
4937,17,Other,High School,4.74,3.78,0.23,2.76,0.48,7.24,10.04,58,364,0,0,Good,4,26.69,36.62,24.45,0,0,Buscar apoyo en el servicio de bienestar universitario
4774,24,Male,Undergraduate,5.04,2.47,1.85,3.11,0.0,4.11,7.36,17,263,0,0,Average,3,26.55,48.98,31.74,0,0,Buscar apoyo en el servicio de bienestar universitario | Establecer rutina de sueno de minimo 7 horas diarias
3505,22,Other,Undergraduate,4.15,2.55,3.27,1.73,0.0,7.34,3.68,99,303,1,0,Good,5,23.84,38.9,32.59,0,1,Revisar habitos generales con un tutor academico
3464,17,Female,High School,3.42,3.71,1.48,4.85,0.0,7.81,5.34,148,254,1,0,Poor,5,24.99,33.91,35.65,0,1,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
1945,23,Male,Undergraduate,2.87,2.55,1.28,4.09,0.0,5.27,9.98,133,94,1,0,Average,8,23.8,51.4,23.79,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
2075,22,Male,Postgraduate,1.85,2.37,2.97,2.02,2.45,7.52,7.38,74,454,0,0,Average,3,23.77,33.51,13.36,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
1943,18,Other,High School,2.76,0.16,3.5,4.05,0.71,7.08,8.59,59,200,1,0,Good,9,19.51,46.67,36.05,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
3354,23,Male,High School,2.74,1.72,2.45,3.3,0.95,7.65,7.61,113,23,0,0,Poor,1,17.05,25.63,20.57,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
2589,17,Other,Undergraduate,4.43,3.18,2.13,2.75,2.25,5.48,8.15,102,48,1,0,Average,2,33.43,57.16,24.53,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
603,23,Female,Undergraduate,4.25,2.05,1.39,3.67,4.65,6.54,8.35,105,95,0,0,Average,1,4.91,43.38,9.31,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
3056,16,Male,Undergraduate,1.22,2.6,0.96,7.03,2.77,5.41,5.23,85,147,0,0,Average,6,10.01,40.01,14.4,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
2685,22,Male,High School,1.17,3.27,1.79,5.1,0.9,7.3,8.43,147,12,0,1,Poor,7,25.42,45.02,29.03,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
2292,19,Other,Postgraduate,4.62,3.38,3.02,3.91,2.81,5.93,10.77,37,195,1,0,Poor,1,8.34,52.12,9.84,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
2808,16,Female,Postgraduate,4.87,2.9,1.87,2.59,1.31,7.68,7.08,26,179,1,0,Average,1,22.88,26.34,29.46,0,0,Buscar apoyo en el servicio de bienestar universitario
3203,22,Male,High School,5.42,0.92,1.56,1.83,0.0,6.03,4.06,78,97,0,0,Good,1,21.61,35.78,23.82,0,0,Buscar apoyo en el servicio de bienestar universitario
2446,17,Male,High School,2.41,2.11,2.85,2.24,0.0,6.57,7.57,124,293,1,1,Good,3,20.77,71.9,5.22,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario
4689,24,Male,High School,2.18,1.31,1.16,4.8,0.85,8.9,6.2,148,342,1,0,Poor,1,10.99,23.07,4.53,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
4313,18,Female,Undergraduate,2.09,3.69,1.61,3.69,1.71,8.14,10.02,140,108,1,1,Poor,6,25.07,44.24,19.16,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
1789,17,Other,Postgraduate,5.16,3.77,1.02,3.9,0.28,5.17,11.11,92,154,0,0,Good,4,27.27,45.48,21.58,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
2356,19,Male,Undergraduate,0.0,4.3,1.79,2.7,3.37,5.09,11.09,97,439,1,0,Good,1,3.73,54.4,1.0,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
3470,19,Other,High School,4.1,2.19,2.44,4.99,1.87,7.59,7.03,139,247,0,0,Good,2,14.62,23.49,27.7,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
3031,19,Male,Postgraduate,4.35,3.48,1.85,7.7,1.73,5.17,10.46,40,24,1,0,Poor,8,20.06,59.51,24.86,0,0,Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
4728,16,Female,High School,5.96,2.67,2.77,2.69,0.0,7.36,7.93,108,124,1,0,Average,2,22.39,46.11,33.18,0,0,Buscar apoyo en el servicio de bienestar universitario
2935,21,Female,Postgraduate,3.09,2.89,1.83,7.51,1.61,6.51,9.62,27,257,1,0,Average,9,19.08,56.29,34.75,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
2328,19,Other,Undergraduate,0.51,3.92,2.62,4.83,0.0,7.82,10.7,111,138,1,0,Poor,4,18.77,46.02,3.91,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
940,24,Male,Undergraduate,3.24,1.33,2.38,4.59,2.01,7.15,6.14,143,427,0,1,Average,6,22.21,45.74,29.61,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
4730,16,Female,High School,4.54,4.02,0.52,2.31,1.71,8.39,5.45,25,459,1,1,Good,3,32.3,43.8,25.19,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
1443,16,Other,Postgraduate,5.71,3.52,2.94,1.92,2.27,5.86,10.68,13,372,1,1,Poor,3,27.27,84.16,25.17,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
1803,21,Female,Postgraduate,3.98,3.58,1.34,2.69,3.43,6.21,6.84,80,130,1,1,Good,2,22.45,51.17,22.48,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
4477,22,Female,Undergraduate,4.74,0.79,1.33,4.65,0.0,8.46,8.39,17,301,1,0,Good,4,15.58,54.5,18.67,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
4083,24,Female,Postgraduate,3.54,1.83,1.91,4.2,1.7,6.75,5.39,34,78,0,0,Poor,1,14.51,26.45,16.95,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
933,16,Female,High School,5.55,2.32,2.73,2.53,0.0,4.96,3.55,60,65,1,0,Poor,1,24.92,40.21,29.77,0,0,Buscar apoyo en el servicio de bienestar universitario | Establecer rutina de sueno de minimo 7 horas diarias
4202,22,Male,High School,3.95,5.31,2.23,2.59,1.47,4.91,8.72,114,196,1,0,Average,9,39.69,64.74,39.43,0,1,Aumentar horas de estudio a minimo 6 horas diarias | Nivel de agotamiento alto - incluir pausas y descanso | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
1501,21,Male,Postgraduate,0.89,1.88,0.07,0.88,1.71,7.38,6.32,100,1,1,0,Good,1,12.35,37.37,5.35,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario
1330,20,Male,Undergraduate,3.99,5.26,4.32,3.44,0.0,7.48,7.03,0,99,0,0,Good,1,24.79,38.5,28.16,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario
1319,21,Other,Postgraduate,5.78,2.94,1.26,4.62,1.7,8.38,7.34,85,229,1,1,Good,1,18.54,41.71,28.3,0,0,Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
1071,16,Male,High School,1.86,5.11,1.58,2.94,1.72,8.45,9.31,20,149,1,1,Poor,7,33.0,49.12,21.31,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
32,19,Male,Postgraduate,5.52,2.41,0.0,3.91,0.26,8.16,11.43,95,306,1,1,Good,6,22.79,69.0,37.09,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
463,20,Female,High School,6.08,2.03,1.92,2.05,0.0,7.66,12.14,131,144,0,0,Average,1,26.8,44.59,35.19,0,0,Buscar apoyo en el servicio de bienestar universitario
